uniqid	distschl	dyear
1000500298	1.01	2000
1000500300	.26	2000
1000500304	.22	2000
1000500307	.88	2000
1000500308	.75	2000
1000500309	1.49	2000
1000500311	.72	2000
1000500312	1.97	2000
1000500321	1.6	2000
1000500327	.18	2000
1000500331	11.46	2000
1000500337	.94	2000
1000500345	2.44	2000
1000500346	2.38	2000
1000500357	.15	2000
1000500363	.55	2000
1000500366	.31	2000
1000500373	8.6	2000
1000500380	.3	2000
1000500385	.44	2000
1000500389	1.15	2000
1000500396	1.12	2000
1000500401	1.27	2000
1000500413	.61	2000
1000500415	.88	2000
1000500418	.5	2000
1000500424	.32	2000
1000500433	.87	2000
1000500440	.5	2000
1000500443	1.48	2000
1000500453	1.8	2000
1000500455	.59	2000
1000500457	1.07	2000
1000500460	.17	2000
1000500464	0	2000
1000500470	3.22	2000
1000500476	2.88	2000
1000500484	6.02	2000
1000500495	.15	2000
1000500498	.46	2000
1000500499	3.12	2000
1000500501	.19	2000
1000500502	.24	2000
1000500503	.59	2000
1000500506	.26	2000
1000500510	.55	2000
1000500515	.46	2000
1000500520	.1	2000
1000500524	.2	2000
1000500526	.87	2000
1000500527	.23	2000
1000500533	.25	2000
1000500536	5.5	2000
1000500539	.17	2000
1000500552	.37	2000
1000500554	1.37	2000
1000500556	2.54	2000
1000500557	2.32	2000
1000500560	.86	2000
1000500561	3.3	2000
1000500562	.49	2000
1000500567	3.52	2000
1000500568	1.01	2000
1000500570	3.6	2000
1000500577	.71	2000
1000500591	.51	2000
1000500595	4.17	2000
1000500596	.98	2000
1000500605	2.07	2000
1000500608	9.98	2000
1000500609	2.78	2000
1000500615	2.61	2000
1000500618	.59	2000
1000500619	.51	2000
1000500629	.17	2000
1000500633	4.97	2000
1000500639	.83	2000
1000500644	.47	2000
1000500645	1.59	2000
1000500648	2.33	2000
1000500652	4.32	2000
1000500654	2.37	2000
1000500658	.43	2000
1000500659	9.88	2000
1000500662	2.47	2000
1000500669	.33	2000
1000500670	1.35	2000
1000600011	.63	2000
1000600014	2.62	2000
1000600023	1.67	2000
1000600024	1.76	2000
1000600030	.76	2000
1000600044	.56	2000
1000600056	.79	2000
1000600057	.33	2000
1000600062	15.57	2000
1000600073	2.09	2000
1000600082	.6	2000
1000600083	.53	2000
1000600085	.9	2000
1000600098	1.52	2000
1000600099	.16	2000
1000600100	.46	2000
1000600105	1.31	2000
1000600108	1.39	2000
1000600116	1.31	2000
1000600123	.14	2000
1000600124	1.38	2000
1000600126	4.44	2000
1000600129	4.44	2000
1000600139	.58	2000
1000600144	1.93	2000
1000600145	.3	2000
1000600147	2.27	2000
1000600159	9.5	2000
1000600160	1.16	2000
1000600167	2.02	2000
1000600189	.35	2000
1000600193	8.02	2000
1000600194	1.46	2000
1000600206	.77	2000
1000600212	.81	2000
1000600214	3.87	2000
1000600228	4.46	2000
1000600236	.2	2000
1000600238	.68	2000
1000600243	1.07	2000
1000600249	0	2000
1000600250	.38	2000
1000600271	.28	2000
1000600280	1.22	2000
1000600284	.82	2000
1000600294	10.93	2000
1000600296	.6	2000
1000600299	1.66	2000
1000600309	1.67	2000
1000600315	1.75	2000
1000600318	.58	2000
1000600320	.72	2000
1000600321	.72	2000
1000600324	.87	2000
1000600334	.13	2000
1000600352	3.43	2000
1000600358	.82	2000
1000600364	.91	2000
1000600372	1.21	2000
1000600375	.14	2000
1000600379	5.12	2000
1000600380	5.17	2000
1000600384	1.09	2000
1000600386	.58	2000
1000600387	.58	2000
1000600394	.86	2000
1000600398	.63	2000
1000600399	.66	2000
1000600402	1.17	2000
1000600403	.28	2000
1000600408	.46	2000
1000600410	.68	2000
1000600411	5.62	2000
1000600418	.97	2000
1000600419	.79	2000
1000600420	.86	2000
1000600422	.94	2000
1000600423	.42	2000
1000600425	1.59	2000
1000600430	1.11	2000
1000600432	.16	2000
1000600442	6.22	2000
1000600443	2.21	2000
1000600450	1.95	2000
1000600463	4.64	2000
1000600468	1.66	2000
1000600472	.46	2000
1000600476	.75	2000
1000600477	.81	2000
1000600486	1.36	2000
1000600488	.65	2000
1000600492	1.81	2000
1000600498	.81	2000
1000600509	1.91	2000
1000600514	15.57	2000
1000600515	13.4	2000
1000600521	.3	2000
1000600529	.78	2000
1000600530	.32	2000
1000600532	3.46	2000
1000600536	1.77	2000
1000600546	.59	2000
1000600547	1.51	2000
1000600548	.54	2000
1000600553	.21	2000
1000600567	.6	2000
1000600572	.53	2000
1000600583	.2	2000
1000600585	1.29	2000
1000600587	4.28	2000
1000600589	.91	2000
1000600590	2.23	2000
1000600594	.65	2000
1000600597	.65	2000
1000600598	.43	2000
1000600599	.15	2000
1000600606	.46	2000
1000600616	.78	2000
1000600617	.78	2000
1000700004	.47	2000
1000700013	.46	2000
1000700015	.46	2000
1000700019	.62	2000
1000700025	.5	2000
1000700035	2.32	2000
1000700039	.11	2000
1000700045	.54	2000
1000700054	4.3	2000
1000700057	.23	2000
1000700058	.29	2000
1000700069	.34	2000
1000700073	.42	2000
1000700081	1.15	2000
1000700093	.84	2000
1000700102	1.3	2000
1000700105	2.28	2000
1000700120	.59	2000
1000700123	.39	2000
1000700125	3.35	2000
1000700131	.91	2000
1000700138	.24	2000
1000700146	2.24	2000
1000700159	1.45	2000
1000700161	1.56	2000
1000700165	8.11	2000
1000700182	.44	2000
1000700189	.69	2000
1000700198	3.79	2000
1000700201	.26	2000
1000700202	.91	2000
1000700205	.13	2000
1000700217	.16	2000
1000700219	.52	2000
1000700225	.2	2000
1000700226	.15	2000
1000700235	.86	2000
1000700236	.85	2000
1000700240	2.56	2000
1000700242	8.37	2000
1000700246	.93	2000
1000700247	.42	2000
1000700248	.37	2000
1000700263	.67	2000
1000700268	1.68	2000
1000700270	1.34	2000
1000700273	8.09	2000
1000700279	.32	2000
1000700285	.33	2000
1000700287	.35	2000
1000700300	.47	2000
1000700304	.8	2000
1000700306	4.01	2000
1000700323	.34	2000
1000700330	.93	2000
1000700332	.41	2000
1000700333	1.09	2000
1000700344	.05	2000
1000700349	.77	2000
1000700355	.84	2000
1000700357	3.29	2000
1000700358	.76	2000
1000700360	6.06	2000
1000700362	6.73	2000
1000700365	6.86	2000
1000700368	2.62	2000
1000700371	.29	2000
1000700374	4.64	2000
1000700380	.71	2000
1000700382	.72	2000
1000700401	1.15	2000
1000700417	.43	2000
1000700423	1.58	2000
1000700426	1.1	2000
1000700430	1.96	2000
1000700436	.25	2000
1000700437	.32	2000
1000700439	1.19	2000
1000700440	.84	2000
1000700450	.62	2000
1000700451	.09	2000
1000700460	1.07	2000
1000700462	.15	2000
1000700468	.39	2000
1000700469	3.88	2000
1000700475	.92	2000
1000700479	.36	2000
1000700482	.13	2000
1000700486	.26	2000
1000700492	.25	2000
1000700496	.45	2000
1000700499	8.16	2000
1000700511	.52	2000
1000700513	3.55	2000
1000700514	5.3	2000
1000700517	.44	2000
1000700520	4.08	2000
1000700521	1.07	2000
1000700522	.6	2000
1000700523	.14	2000
1000700536	1.98	2000
1000700544	1.46	2000
1000700549	.55	2000
1000700551	.73	2000
1000700559	2.2	2000
1000700562	1.76	2000
1000700565	1.58	2000
1000700574	7.33	2000
1000700575	8.15	2000
1000700576	3.23	2000
1000700580	3.02	2000
1000700586	.63	2000
1000700589	.23	2000
1000700593	.42	2000
1000700594	.14	2000
1000700597	3.3	2000
1000700600	.79	2000
1000700607	.14	2000
1000700608	.39	2000
1000700616	.3	2000
1000700618	4.36	2000
1000700621	3.19	2000
1000700626	14.7	2000
1000700632	5.83	2000
1000700637	1.53	2000
1000700644	1.23	2000
1000700648	.72	2000
1000800009	.36	2000
1000800013	.68	2000
1000800014	.83	2000
1000800015	.39	2000
1000800026	0	2000
1000800027	1.09	2000
1000800034	.42	2000
1000800035	.49	2000
1000800036	.99	2000
1000800038	1	2000
1000800039	.82	2000
1000800042	1.07	2000
1000800045	.64	2000
1000800046	.44	2000
1000800048	1.82	2000
1000800056	23.46	2000
1000800057	23.07	2000
1000800061	.21	2000
1000800062	.61	2000
1000800066	.72	2000
1000800079	.12	2000
1000800080	2.19	2000
1000800082	1.82	2000
1000800094	.46	2000
1000800113	.51	2000
1000800124	.52	2000
1000800125	7.97	2000
1000800127	.04	2000
1000800131	.59	2000
1000800136	2.93	2000
1000800144	.67	2000
1000800166	1.02	2000
1000800177	1.35	2000
1000800178	.34	2000
1000800184	.09	2000
1000800185	.42	2000
1000800198	.18	2000
1000800204	.13	2000
1000800205	.13	2000
1000800206	1.23	2000
1000800207	1.03	2000
1000800209	1.18	2000
1000800211	6.22	2000
1000800217	.31	2000
1000800226	.49	2000
1000800228	22.24	2000
1000800231	1.7	2000
1000800233	.21	2000
1000800235	.55	2000
1000800237	.44	2000
1000800238	.42	2000
1000800239	2.65	2000
1000800241	3.51	2000
1000800243	2.42	2000
1000800250	1.32	2000
1000800257	.53	2000
1000800258	5.18	2000
1000800259	.51	2000
1000800263	8.65	2000
1000800266	.31	2000
1000800282	.78	2000
1000800292	.33	2000
1000800297	9.73	2000
1000800301	3.47	2000
1000800311	9.76	2000
1000800313	6.6	2000
1000800323	.18	2000
1000800328	6.37	2000
1000800334	.79	2000
1000800338	1.6	2000
1000800342	.71	2000
1000800344	.47	2000
1000800351	1.03	2000
1000800352	.55	2000
1000800354	.54	2000
1000800363	.41	2000
1000800370	.39	2000
1000800374	6.54	2000
1000800377	.47	2000
1000800380	7.5	2000
1000800382	.5	2000
1000800385	7.24	2000
1000800391	.13	2000
1000800400	.4	2000
1000800404	2.34	2000
1000800406	.61	2000
1000800407	2.13	2000
1000800408	2.23	2000
1000800420	.38	2000
1000800421	.46	2000
1000800427	.56	2000
1000800429	1.84	2000
1000800436	.17	2000
1000800437	1.12	2000
1000800440	1.22	2000
1000800452	1.66	2000
1000800453	.66	2000
1000800454	.65	2000
1000800465	6.38	2000
1000800472	6.83	2000
1000800475	.11	2000
1000800480	.65	2000
1000800483	1.36	2000
1000800484	.42	2000
1000800491	2.11	2000
1000800493	1.51	2000
1000800506	6.92	2000
1000800507	.54	2000
1000800517	.63	2000
1000800533	11.25	2000
1000800536	.61	2000
1000800541	.69	2000
1000800544	.73	2000
1000800561	.52	2000
1000800564	0	2000
1000800568	.22	2000
1000800569	.09	2000
1000800571	.6	2000
1000800572	.43	2000
1000800573	1.06	2000
1000800575	.32	2000
1000800576	1.1	2000
1000800579	.37	2000
1000800592	.42	2000
1000800596	.58	2000
1000800597	.09	2000
1000800599	.24	2000
1000900003	2.08	2000
1000900008	.44	2000
1000900010	1.89	2000
1000900017	.19	2000
1000900022	.37	2000
1000900029	1.58	2000
1000900030	1.34	2000
1000900040	.71	2000
1000900050	.57	2000
1000900064	.84	2000
1000900066	7.76	2000
1000900073	.83	2000
1000900075	.76	2000
1000900079	1.27	2000
1000900089	.59	2000
1000900094	3.51	2000
1000900095	5.31	2000
1000900097	3.19	2000
1000900098	5.34	2000
1000900104	3.12	2000
1000900105	11.74	2000
1000900107	.55	2000
1000900108	1.94	2000
1000900110	2.98	2000
1000900111	.89	2000
1000900116	1.19	2000
1000900118	2.79	2000
1000900120	.48	2000
1000900122	.46	2000
1000900132	1.53	2000
1000900142	1.92	2000
1000900143	1.92	2000
1000900145	1.52	2000
1000900146	1.6	2000
1000900149	1.17	2000
1000900153	.65	2000
1000900160	2.61	2000
1000900162	4.26	2000
1000900164	.17	2000
1000900173	3.05	2000
1000900175	1.08	2000
1000900180	.52	2000
1000900183	.45	2000
1000900190	1.26	2000
1000900197	1.06	2000
1000900206	1.07	2000
1000900215	2.07	2000
1000900216	.59	2000
1000900217	1.77	2000
1000900218	1.92	2000
1000900229	2.07	2000
1000900230	2.07	2000
1000900241	.46	2000
1000900243	1.51	2000
1000900250	19.5	2000
1000900257	1.09	2000
1000900262	.13	2000
1000900281	1.35	2000
1000900283	.99	2000
1000900296	7.81	2000
1000900297	1.25	2000
1000900298	.82	2000
1000900301	.57	2000
1000900306	.96	2000
1000900307	2.47	2000
1000900308	3.42	2000
1000900329	.28	2000
1000900331	.79	2000
1000900333	.88	2000
1000900334	1.13	2000
1000900337	.31	2000
1000900342	.3	2000
1000900344	.32	2000
1000900346	11.96	2000
1000900348	1.47	2000
1000900351	1.11	2000
1000900360	1.12	2000
1000900361	1.25	2000
1000900369	.57	2000
1000900373	.22	2000
1000900376	.19	2000
1000900381	.79	2000
1000900382	1.5	2000
1000900388	.81	2000
1000900390	.43	2000
1000900391	.25	2000
1000900397	.3	2000
1000900403	.09	2000
1000900407	4.03	2000
1000900408	4.79	2000
1000900414	1.41	2000
1000900415	1.28	2000
1000900419	.94	2000
1000900422	1.03	2000
1000900429	.41	2000
1000900430	7.27	2000
1000900431	.73	2000
1000900434	.48	2000
1000900441	.37	2000
1000900442	4.41	2000
1000900443	1.3	2000
1000900444	.31	2000
1000900451	.45	2000
1000900456	.73	2000
1000900458	.42	2000
1000900460	2.45	2000
1000900463	.29	2000
1000900470	.75	2000
1000900473	.81	2000
1000900483	1.05	2000
1000900484	.8	2000
1000900485	.35	2000
1000900504	6.06	2000
1000900505	1.45	2000
1000900507	3.26	2000
1000900510	1.44	2000
1000900518	.8	2000
1000900519	.8	2000
1000900522	1.41	2000
1000900526	.37	2000
1000900527	2	2000
1000900538	1.14	2000
1000900539	4.08	2000
1000900541	1.79	2000
1000900556	.31	2000
1000900568	.3	2000
1000900574	.37	2000
1000900587	.41	2000
1000900589	3.5	2000
1000900602	.33	2000
1000900604	3.51	2000
1000900606	1.89	2000
1000900607	.22	2000
1000900613	1.02	2000
1000900619	.48	2000
1000900621	.33	2000
