uniqid	distwork	wcouncil	dyear
2001000483	21.3157511010051	270	2000
2001000485	6.43019642001704	270	2000
2001000486	0	270	2000
2001000487	1.46739088180348	270	2000
2001000489	1.65267207878635	380	2000
2001000491	15.3539343492149	230	2000
2001000493	.347908033825033	100	2000
2001000494	4.29799139133619	100	2000
2001000497	0	110	2000
2001000498	13.6311167921047	110	2000
2001000503	1.79615283314088	110	2000
2001000504	0	110	2000
2001000506	4.18034029715285	110	2000
2001000509	0	110	2000
2001000511	66.347699794341	260	2000
2001000512	.577754273026172	230	2000
2001000514	17.6169278820117	350	2000
2001000516	5.11856483792088	100	2000
2001000517	1.76977399687079	100	2000
2001000519	9.26867590327766	100	2000
2001000521	.596657355607052	260	2000
2001000522	.335261092284804	260	2000
2001000526	.925833678367773	110	2000
2001000527	21.6822307431685	100	2000
2001000528	.898643422053486	120	2000
2001000529	0	380	2000
2001000530	2.7689889851713	230	2000
2001000532	 	0	2000
2001000533	3.41259432104081	230	2000
2001000538	 	0	2000
2001000539	1.55562373362372	0	2000
2001000540	1.82698576896483	230	2000
2001000542	.564127645130072	230	2000
2001000543	.348694708878698	230	2000
2001000544	.49634766041556	230	2000
2001000545	.879348791940232	0	2000
2001000546	.217117479720082	230	2000
2001000547	1.56686470379545	150	2000
2001000550	8.37871332604237	390	2000
2001000552	8.33413540806723	350	2000
2001000554	18.7932954268271	355	2000
2001000555	4.71330987735795	355	2000
2001000557	5.10119123342774	250	2000
2001000562	 	0	2000
2001000565	16.851869006137	330	2000
2001000566	82.7344835603632	400	2000
2001000569	.706208184602812	130	2000
2001000574	.490819722505117	230	2000
2001000581	0	180	2000
2001000582	5.49067354702499	180	2000
2001000584	0	395	2000
2001000585	4.07083529512065	200	2000
2001000592	4.08713983122672	235	2000
2001000594	6.71430569753865	235	2000
2001000597	8.06254054253372	235	2000
2001000598	0	235	2000
2001000603	.464004310324807	340	2000
2001000607	0	340	2000
2001000608	21.624805016462	340	2000
2001000609	18.4271877398587	260	2000
2001000610	18.2882735106406	260	2000
2001000614	11.3783170987629	260	2000
2001000615	6.84827292096336	180	2000
2001000618	.387769261288205	230	2000
2001000619	4.21615191851527	230	2000
2001000620	.30725884853003	230	2000
2001000621	3.4667080927012	260	2000
2001000622	8.92661755649921	120	2000
2001000623	2.03381242989613	150	2000
2001000624	 	0	2000
2001000625	32.1092538219125	360	2000
2001000627	1.62539133749384	360	2000
2001000628	2.99113690759885	340	2000
2001000630	6.5781176638914	340	2000
2001000631	.157308613877308	230	2000
2001000633	3.99448532354295	230	2000
2001000635	.305473403097553	395	2000
2001000639	7.0944486748443	250	2000
2001000641	1.05994811193756	250	2000
2001000643	2.39774894432257	390	2000
2001000645	2.13805986819827	390	2000
2001000646	18.4914515384812	240	2000
2001000647	5.1483124419561	360	2000
2001000648	30.6559296221791	360	2000
2001000655	.908008810529942	120	2000
2001000658	20.2056040246264	110	2000
2001000660	.96076896286256	360	2000
2001000661	0	360	2000
2001000662	 	0	2000
2001000663	2.13323603944805	230	2000
2001000664	1.10824726482857	230	2000
2001000666	0	230	2000
2001000667	7.11931211564713	230	2000
2001000669	1.39087128106869	0	2000
2001000672	30.9445783619683	360	2000
2001000673	13.0726846898409	120	2000
2001000674	4.42234688824837	180	2000
2001000675	11.0110535372416	260	2000
2001000677	3.28184978327772	150	2000
2001000678	7.39500676132213	390	2000
2001000680	0	330	2000
2001000682	6.85701101063722	260	2000
2001000683	4.38482804679955	260	2000
2001000685	7.6241963510917	260	2000
2001000687	3.24406904982	180	2000
2001000689	2.86440587207889	260	2000
2001000690	0	355	2000
2001000691	10.9227514848595	260	2000
2001000693	6.31228960045402	260	2000
2001000700	1.3559129765586	250	2000
2001000708	4.13319489015459	180	2000
2001000710	2.1206649900444	180	2000
2001000712	4.36642874669907	260	2000
2001000713	1.12276489079415	260	2000
2001000714	2.3127406487351	260	2000
2001000715	0	260	2000
2001100001	20.2547085883752	260	2000
2001100007	7.40638967378844	130	2000
2001100009	0	130	2000
2001100010	0	130	2000
2001100012	17.6946408270979	250	2000
2001100013	7.48904533301809	180	2000
2001100017	14.9399162648256	270	2000
2001100019	18.3095740256293	270	2000
2001100021	14.2646500833354	270	2000
2001100024	.526117857518636	260	2000
2001100026	0	260	2000
2001100030	2.17254919391944	110	2000
2001100031	11.5553018134534	100	2000
2001100033	6.14041895964762	395	2000
2001100035	5.80141362083415	380	2000
2001100036	 	0	2000
2001100038	1.85946228786711	380	2000
2001100040	6.25399072592852	250	2000
2001100041	.960813197244917	220	2000
2001100043	15.6947092040598	200	2000
2001100045	8.25118670252952	200	2000
2001100048	0	320	2000
2001100049	10.375668653152	260	2000
2001100050	5.79633608411383	270	2000
2001100063	21.1271090544826	250	2000
2001100069	2.44007950690136	100	2000
2001100071	21.180512859702	130	2000
2001100072	5.12278927928917	130	2000
2001100073	0	270	2000
2001100087	.519188790325831	320	2000
2001100089	2.84640474985551	260	2000
2001100090	2.63759928723072	260	2000
2001100092	0	280	2000
2001100102	48.0018540579424	230	2000
2001100105	13.3145853859593	355	2000
2001100106	5.30962691721368	260	2000
2001100107	2.27298768144484	260	2000
2001100110	1.06301458127346	270	2000
2001100114	21.5062369093247	100	2000
2001100117	1.28898409610049	380	2000
