UNIQIDNEW	KID_WT	kid_ok	kidecon	kidage	laschool	centre_t	type1	type2	type3	distschl
1122530434	.84	1	7	4	 	Local Authority	0	Secondary	0	.835404692349762
1130158236	1.53	1	7	4	 	Local Authority	0	Secondary	0	2.55264039770587
1136239451	.68	1	7	3	 	Local Authority	0	Secondary	0	.849732310789698
1137295776	1.6	1	7	2	 	Local Authority	Primary	0	0	.29882603634891
1138844495	1.1	1	7	3	 	Local Authority	Primary	0	0	.444055176751719
1142458046	.11	1	7	1	 	Local Authority	Primary	0	0	4.92833085334173
1149708643	1.53	1	7	4	 	Local Authority	0	Secondary	0	2.06087966655018
1155696978	.62	1	7	3	 	Local Authority	0	Secondary	0	.975643377469452
1163076443	.29	1	7	2	 	Local Authority	Primary	0	0	.614205991504479
1167680557	.52	1	7	2	 	Local Authority	Primary	0	0	.25246187831037
1173171830	.8	1	7	1	 	Local Authority	Primary	0	0	.438634243989226
1178602824	.75	1	7	4	 	Local Authority	0	Secondary	0	6.76984874277114
1179269101	1.94	1	7	3	 	Local Authority	Primary	0	0	.514482264028606
1180759851	1.2	1	7	1	 	 	 	 	 	 
1182015120	.8	1	7	1	 	 	 	 	 	 
1183372499	.76	1	7	4	 	Local Authority	0	Secondary	0	2.05288577373414
1185772182	.55	1	7	3	 	Local Authority	Primary	0	0	1.47388228837991
1190087600	1.68	1	7	4	 	Independent	Primary	Secondary	0	4.53767737945306
1195397857	.27	1	7	4	 	Local Authority	0	Secondary	0	2.80062653704488
1205146286	.8	1	7	4	 	Local Authority	0	Secondary	0	7.32667516681339
1209202987	.59	1	7	1	 	Local Authority	Primary	0	0	2.40714457397141
1211935315	1.32	1	7	2	 	Local Authority	Primary	0	0	.652405548719506
1220254429	.8	1	7	3	 	Local Authority	Primary	0	0	2.63130404932611
1252139598	1.74	1	7	4	 	Local Authority	0	Secondary	0	2.85262685958048
1252466753	1.91	1	7	4	 	Local Authority	0	Secondary	0	.457421031436028
1257744744	1.62	1	7	2	 	Local Authority	Primary	0	0	.432750505487862
1258478491	.33	1	7	4	 	Local Authority	0	Secondary	0	1.14439328904009
1258903924	.84	1	7	2	 	Local Authority	Primary	0	0	.0730068489937759
1266283207	1.59	1	7	3	 	Local Authority	0	Secondary	0	1.71322882301227
1269535484	.52	1	7	2	 	Local Authority	Primary	0	0	.458039299623951
1274851897	1.1	1	7	3	 	Local Authority	Primary	0	0	1.15336464312029
1289303154	.66	1	7	4	 	Local Authority	0	Secondary	0	6.89238420287204
1298588841	.14	1	7	1	 	Local Authority	Primary	0	0	1.54302624734643
1301785289	.75	1	7	4	 	Local Authority	0	Secondary	0	2.19610951457344
1302966961	1.89	1	7	4	 	Local Authority	0	Secondary	0	1.57489205979331
1303718100	1.43	1	7	1	 	Local Authority	Primary	0	0	.82037857114871
1306116200	.68	1	7	3	 	 	 	 	 	 
1307667206	.52	1	7	1	 	Local Authority	Primary	0	0	.53128617523892
1309446502	.43	1	7	3	 	Local Authority	0	Secondary	0	4.03940218349201
1315281904	2.47	1	7	4	 	Local Authority	0	Secondary	0	.77769145552719
1315902328	.13	1	7	4	 	 	 	 	 	 
1316788127	.87	1	7	4	 	Local Authority	0	Secondary	0	1.64821418511066
1340992074	1.59	1	7	3	 	Local Authority	0	Secondary	0	.505541294060139
1341171135	1.32	1	7	4	 	Local Authority	0	Secondary	0	1.44913525938747
1341377791	.24	1	7	3	 	Local Authority	0	Secondary	0	21.9951800629138
1344911871	.5	1	7	1	 	Local Authority	Primary	0	0	.36160199114496
1345314640	.78	1	7	4	 	Local Authority	0	Secondary	0	1.66136570326945
1345607849	.1	1	7	4	 	Local Authority	Primary	Secondary	0	11.5376188617929
1346083200	2.29	1	7	4	 	Local Authority	0	Secondary	0	2.81040530884782
1353962082	2.09	1	7	3	 	Local Authority	Primary	0	0	.853061545259192
1360825306	1.8	1	7	3	 	Local Authority	0	Secondary	0	1.59920105052492
1365714181	.41	1	7	3	 	Local Authority	0	Secondary	0	.559270954010666
1368643316	1.29	1	7	2	 	Local Authority	Primary	0	0	3.43089638432874
1371226549	.55	1	7	3	 	Local Authority	Primary	0	0	.633296928778279
1376168491	.94	1	7	3	 	Local Authority	Primary	0	0	.366083323848547
1378492951	.86	1	7	3	 	Local Authority	Primary	0	0	.573293990898213
1384175039	1.74	1	7	4	 	Local Authority	0	Secondary	0	2.07828390745827
1393459803	.87	1	7	4	 	Local Authority	0	Secondary	0	.46999787233561
1400280521	.83	1	7	1	 	Local Authority	Primary	0	0	.516766872003227
1404558565	.82	1	7	4	 	Local Authority	0	Secondary	0	.855572907471947
1411671770	.48	1	7	4	 	Local Authority	0	Secondary	0	1.01321764690515
1415396832	2.27	1	7	2	 	Local Authority	Primary	0	0	5.4048193309305
1429872993	2.09	1	7	3	 	Local Authority	0	Secondary	0	.783247725818594
1431463306	.87	1	7	4	 	Local Authority	0	Secondary	0	3.28408054103428
1440402186	.72	1	7	1	 	Local Authority	Primary	0	0	.303041251317374
1461982285	.8	1	7	4	 	Local Authority	0	Secondary	0	23.1347317252654
1464404814	.76	1	7	1	 	Local Authority	Primary	0	0	.535014953062062
1465683436	1.88	1	7	3	 	Local Authority	0	Secondary	0	1.52199080154908
1471825415	1.89	1	7	2	 	Local Authority	Primary	0	0	.82172075548814
1479588487	.93	1	7	2	 	Local Authority	Primary	0	0	.933957172465633
1491832855	.66	1	7	1	 	Local Authority	Primary	0	0	1.59932798387323
1497302452	1.53	1	7	3	 	Local Authority	0	Secondary	0	1.10144132844196
1517411834	1.53	1	7	2	 	Local Authority	Primary	Secondary	0	1.02015341983449
1525794897	1.61	1	7	3	 	Local Authority	Primary	0	0	.14567429423203
1527742716	1.4	1	7	1	 	Local Authority	Primary	0	0	.440082946727091
1531383568	.75	1	7	4	 	Local Authority	0	Secondary	0	1.61666353951588
1539197192	.41	1	7	1	 	Local Authority	Primary	0	0	.723033885789594
1541308482	1.4	1	7	3	 	Local Authority	0	Secondary	0	.210021427478246
1543754112	.52	1	7	1	 	Local Authority	Primary	0	0	3.7950832665437
1545214337	2.53	1	7	2	 	Local Authority	Primary	0	0	.859730190234122
1547375881	.49	1	7	4	 	Local Authority	0	Secondary	0	4.52121056797845
1558062905	1.71	1	7	2	 	Local Authority	Primary	0	0	.195941317745901
1561282771	.94	1	7	3	 	Local Authority	0	Secondary	0	4.14470867492517
1570606819	.66	1	7	1	 	Local Authority	Primary	0	0	.729976027003627
1572032981	2.35	1	7	3	 	Local Authority	Primary	0	0	1.08667980564654
1574953888	.26	1	7	4	 	Local Authority	0	Secondary	0	32.1817151189926
1578289346	.39	1	7	4	 	Local Authority	0	Secondary	0	13.9884638899344
1578464616	.97	1	7	2	 	Local Authority	Primary	Secondary	0	.656189759139839
1581217289	1.71	1	7	2	 	Local Authority	Primary	0	0	.875429608820721
1598063266	.66	1	7	1	 	Local Authority	Primary	0	0	1.05701702919111
1609089534	2.15	1	7	2	 	Local Authority	Primary	0	0	.554366304892352
1610285841	.81	1	7	3	 	Local Authority	0	Secondary	0	1.86606564729111
1610785677	.94	1	7	4	 	Local Authority	0	Secondary	0	1.72729731082984
1612387729	.65	1	7	1	 	Local Authority	Primary	0	0	.685493253066724
1622973444	.66	1	7	2	 	 	 	 	 	 
1627008101	1.13	1	7	2	 	Local Authority	Primary	0	0	.850014705755142
1632925017	.7	1	7	3	 	Local Authority	Primary	0	0	1.49888124946575
1633905243	.76	1	7	4	 	 	 	 	 	 
1640571566	.95	1	7	3	 	Local Authority	Primary	0	0	1.92691774603899
1645992585	1.53	1	7	4	 	Local Authority	0	Secondary	0	2.95449894229123
